gapy --target=gapuino_v3 --platform=board --work-dir=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS      run --exec-prepare --exec --binary=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS/test_mem  
TARGET create
GAP8 INIT TARGET
GAP8 examine target
Init jtag
Initialising GAP8 JTAG TAP
Loading binary through JTAG
Fabric Controller Frequency 250000000 Hz
1 0.000012 84019.492187
2 0.000012 168038.984375
3 0.000012 252058.484375
4 0.000012 336106.218750
5 0.000012 419006.125000
6 0.000012 504116.968750
7 0.000012 588185.937500
8 0.000012 670409.812500
9 0.000012 756175.437500
10 0.000012 840265.562500
11 0.000012 924214.437500
12 0.000012 1008233.937500
13 0.000012 1092253.375000
14 0.000012 1173315.500000
15 0.000012 1260292.375000
16 0.000012 1340932.000000
17 0.000012 1428331.375000
18 0.000012 1512096.750000
19 0.000012 1592356.750000
20 0.000012 1675884.000000
21 0.000012 1764409.375000
22 0.000012 1848428.875000
23 0.000012 1932448.375000
24 0.000012 2016467.875000
25 0.000012 2095206.250000
26 0.000012 2184506.750000
27 0.000012 2268526.250000
28 0.000012 2352150.500000
29 0.000012 2436565.250000
30 0.000012 2514247.500000
31 0.000012 2598055.750000
32 0.000012 2688172.000000
33 0.000012 2765672.250000
34 0.000012 2856182.750000
35 0.000012 2940188.000000
36 0.000012 3024193.500000
37 0.000012 3108198.750000
38 0.000012 3192204.250000
39 0.000012 3276209.500000
40 0.000012 3351206.750000
41 0.000012 3444220.250000
42 0.000012 3529411.500000
43 0.000012 3613445.250000
44 0.000012 3696236.500000
45 0.000012 3771371.250000
46 0.000012 3865546.000000
47 0.000012 3949579.750000
48 0.000012 4033613.250000
49 0.000012 4107981.500000
50 0.000012 4201680.500000
51 0.000012 4285714.000000
52 0.000012 4368279.500000
53 0.000012 4453781.500000
54 0.000012 4536290.000000
55 0.000012 4620295.500000
56 0.000012 4691689.500000
57 0.000012 4777070.500000
58 0.000012 4872311.500000
59 0.000012 4956317.000000
60 0.000012 5040322.500000
61 0.000012 5124327.500000
62 0.000012 5197854.000000
63 0.000012 5281690.500000
64 0.000012 5376344.000000
65 0.000012 5460349.000000
66 0.000012 5533199.500000
67 0.000012 5628360.000000
68 0.000012 5712365.500000
69 0.000012 5780831.500000
70 0.000012 5880376.000000
71 0.000012 5948392.000000
72 0.000012 6048387.000000
73 0.000012 6132392.000000
74 0.000012 6216397.500000
75 0.000012 6300403.000000
76 0.000012 6388702.000000
77 0.000012 6468413.500000
78 0.000012 6534853.000000
79 0.000012 6618633.000000
80 0.000012 6720430.000000
81 0.000012 6786193.500000
82 0.000012 6893073.000000
83 0.000012 6958417.500000
84 0.000012 7061196.500000
85 0.000012 7140456.500000
86 0.000012 7224462.000000
87 0.000012 7313382.500000
88 0.000012 7392473.000000
89 0.000012 7476478.000000
90 0.000012 7565568.000000
91 0.000012 7623995.000000
92 0.000012 7707775.500000
93 0.000012 7812499.500000
94 0.000012 7875335.500000
95 0.000012 7964454.000000
96 0.000012 8069939.000000
97 0.000012 8148521.000000
98 0.000012 8210456.500000
99 0.000012 8316532.000000
100 0.000012 8400537.000000
101 0.000012 8467472.000000
102 0.000012 8551308.000000
103 0.000012 8652553.000000
104 0.000012 8736559.000000
105 0.000012 8820564.000000
106 0.000012 8910558.000000
107 0.000012 8994620.000000
108 0.000012 9048258.000000
109 0.000012 9138163.000000
110 0.000012 9215818.000000
111 0.000012 9305836.000000
112 0.000012 9389672.000000
113 0.000012 9498991.000000
114 0.000012 9583053.000000
115 0.000012 9634719.000000
116 0.000012 9744623.000000
117 0.000012 9828629.000000
118 0.000012 9912634.000000
119 0.000012 9969840.000000
120 0.000012 10080645.000000
121 0.000012 10164650.000000
122 0.000012 10234899.000000
123 0.000012 10304960.000000
124 0.000012 10388741.000000
125 0.000012 10472521.000000
126 0.000012 10556301.000000
127 0.000012 10683042.000000
128 0.000012 10767160.000000
129 0.000012 10836693.000000
130 0.000012 10920698.000000
131 0.000012 10975202.000000
132 0.000012 11103634.000000
133 0.000012 11172715.000000
134 0.000012 11256720.000000
135 0.000012 11310322.000000
136 0.000012 11424731.000000
137 0.000012 11524226.000000
138 0.000012 11561663.000000
139 0.000012 11676747.000000
140 0.000012 11760752.000000
141 0.000012 11844758.000000
142 0.000012 11928763.000000
143 0.000012 11980564.000000
144 0.000012 12064344.000000
145 0.000012 12180779.000000
146 0.000012 12264784.000000
147 0.000012 12315684.000000
148 0.000012 12416107.000000
149 0.000012 12516801.000000
150 0.000012 12600806.000000
151 0.000012 12667785.000000
152 0.000012 12734585.000000
153 0.000012 12852822.000000
154 0.000012 12936827.000000
155 0.000012 13020833.000000
156 0.000012 13104838.000000
157 0.000012 13188843.000000
158 0.000012 13237266.000000
159 0.000012 13356854.000000
160 0.000012 13440860.000000
161 0.000012 13488607.000000
162 0.000012 13608870.000000
163 0.000012 13674496.000000
164 0.000012 13776881.000000
165 0.000012 13860886.000000
166 0.000012 13944892.000000
167 0.000012 14010067.000000
168 0.000012 14112903.000000
169 0.000012 14196908.000000
170 0.000012 14280913.000000
171 0.000012 14364919.000000
172 0.000012 14429530.000000
173 0.000012 14532929.000000
174 0.000012 14616935.000000
175 0.000012 14661529.000000
176 0.000012 14804845.000000
177 0.000012 14868951.000000
178 0.000012 14952956.000000
179 0.000012 15036962.000000
180 0.000012 15120967.000000
181 0.000012 15204972.000000
182 0.000012 15288978.000000
183 0.000012 15331770.000000
184 0.000012 15456989.000000
185 0.000012 15540994.000000
186 0.000012 15624999.000000
187 0.000012 15709005.000000
188 0.000012 15750671.000000
189 0.000012 15855704.000000
190 0.000012 15961021.000000
191 0.000012 16045026.000000
192 0.000012 16129032.000000
193 0.000012 16191275.000000
194 0.000012 16297042.000000
195 0.000012 16403096.000000
196 0.000012 16465053.000000
197 0.000012 16504693.000000
198 0.000012 16633064.000000
199 0.000012 16717069.000000
200 0.000012 16756033.000000
201 0.000012 16839814.000000
202 0.000012 16991924.000000
203 0.000012 17007374.000000
204 0.000012 17137096.000000
205 0.000012 17197986.000000
206 0.000012 17258714.000000
207 0.000012 17365772.000000
208 0.000012 17473118.000000
209 0.000012 17557122.000000
210 0.000012 17641128.000000
211 0.000012 17725134.000000
212 0.000012 17785234.000000
213 0.000012 17845176.000000
214 0.000012 17977150.000000
215 0.000012 18012736.000000
216 0.000012 18145160.000000
217 0.000012 18229166.000000
218 0.000012 18313172.000000
219 0.000012 18397176.000000
220 0.000012 18431636.000000
221 0.000012 18565188.000000
222 0.000012 18649192.000000
223 0.000012 18733198.000000
224 0.000012 18766758.000000
225 0.000012 18901208.000000
226 0.000012 18985214.000000
227 0.000012 19069220.000000
228 0.000012 19101878.000000
229 0.000012 19185658.000000
230 0.000012 19269438.000000
231 0.000012 19405242.000000
232 0.000012 19489246.000000
233 0.000012 19573252.000000
234 0.000012 19657258.000000
235 0.000012 19741262.000000
236 0.000012 19772120.000000
237 0.000012 19909274.000000
238 0.000012 19993278.000000
239 0.000012 20023460.000000
240 0.000012 20161290.000000
241 0.000012 20245294.000000
242 0.000012 20274800.000000
243 0.000012 20413306.000000
244 0.000012 20552560.000000
245 0.000012 20526140.000000
246 0.000012 20665322.000000
247 0.000012 20749328.000000
248 0.000012 20833332.000000
249 0.000012 20861262.000000
250 0.000012 20945042.000000
251 0.000012 21142184.000000
252 0.000012 21112602.000000
253 0.000012 21253360.000000
254 0.000012 21280162.000000
255 0.000012 21421370.000000
256 0.000012 21505376.000000
257 0.000012 21589380.000000
258 0.000012 21615282.000000
259 0.000012 21757392.000000
260 0.000012 21841396.000000
261 0.000012 21925402.000000
262 0.000012 21950404.000000
263 0.000012 22093412.000000
264 0.000012 22117964.000000
265 0.000012 22261424.000000
266 0.000012 22285524.000000
267 0.000012 22429434.000000
268 0.000012 22513440.000000
269 0.000012 22597446.000000
270 0.000012 22681450.000000
271 0.000012 22826820.000000
272 0.000012 22788206.000000
273 0.000012 22933466.000000
274 0.000012 23017472.000000
275 0.000012 23101478.000000
276 0.000012 23123326.000000
277 0.000012 23269488.000000
278 0.000012 23353494.000000
279 0.000012 23437498.000000
280 0.000012 23521504.000000
281 0.000012 23605510.000000
282 0.000012 23689516.000000
283 0.000012 23773520.000000
284 0.000012 23857526.000000
285 0.000012 23941532.000000
286 0.000012 24025536.000000
287 0.000012 24109542.000000
288 0.000012 24193548.000000
289 0.000012 24277552.000000
290 0.000012 24361558.000000
291 0.000012 24445564.000000
292 0.000012 24529568.000000
293 0.000012 24679920.000000
294 0.000012 24697580.000000
295 0.000012 24715148.000000
296 0.000012 24865590.000000
297 0.000012 24882710.000000
298 0.000012 25101078.000000
299 0.000012 25117606.000000
300 0.000012 25134050.000000
301 0.000012 25285618.000000
302 0.000012 25301610.000000
303 0.000012 25453628.000000
304 0.000012 25469170.000000
305 0.000012 25621638.000000
306 0.000012 25705644.000000
307 0.000012 25720510.000000
308 0.000012 25873654.000000
