gapy --target=gapuino_v3 --platform=board --work-dir=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS      run --exec-prepare --exec --binary=/home/gap8/gap_sdk/Transfer_GAP8-_test_Memory/BUILD/GAP8_V3/GCC_RISCV_PULPOS/test_mem  
TARGET create
GAP8 INIT TARGET
GAP8 examine target
Init jtag
Initialising GAP8 JTAG TAP
Loading binary through JTAG
1 0.000015 68549.492188
2 0.000016 128246.234375
3 0.000017 180712.015625
4 0.000010 385505.031250
5 0.000024 211676.046875
6 0.000025 243625.140625
7 0.000026 273394.781250
8 0.000013 630169.375000
9 0.000026 346954.531250
10 0.000027 371098.843750
11 0.000028 393926.375000
12 0.000015 799254.000000
13 0.000028 460503.000000
14 0.000029 479386.375000
15 0.000030 495998.937500
16 0.000017 921446.687500
17 0.000031 556501.250000
18 0.000032 570414.500000
19 0.000033 584040.312500
20 0.000020 1017604.562500
21 0.000033 638336.625000
22 0.000034 649465.625000
23 0.000035 659971.312500
24 0.000022 1092299.250000
25 0.000035 709904.625000
26 0.000036 718311.375000
27 0.000037 725806.437500
28 0.000024 1152642.875000
29 0.000038 773168.437500
30 0.000039 778978.000000
31 0.000039 784969.125000
32 0.000027 1202465.000000
33 0.000040 828646.000000
34 0.000041 832598.687500
35 0.000042 837160.312500
36 0.000029 1244297.000000
37 0.000042 877942.250000
38 0.000043 880608.062500
39 0.000044 883792.625000
40 0.000031 1278772.375000
41 0.000044 922094.312500
42 0.000045 923726.625000
43 0.000046 925208.750000
44 0.000034 1310772.250000
45 0.000047 961867.312500
46 0.000048 963794.875000
47 0.000049 963746.750000
48 0.000036 1336302.875000
49 0.000049 998532.750000
50 0.000050 997844.687500
51 0.000051 998277.437500
52 0.000038 1360971.500000
53 0.000051 1030727.312500
54 0.000052 1029905.375000
55 0.000053 1029885.375000
56 0.000041 1380670.625000
57 0.000054 1060741.375000
58 0.000055 1059476.750000
59 0.000056 1058106.125000
60 0.000043 1399514.750000
61 0.000056 1088197.500000
62 0.000057 1085738.250000
63 0.000058 1084860.125000
64 0.000045 1417183.375000
65 0.000058 1113929.250000
66 0.000059 1111410.500000
67 0.000060 1110006.625000
68 0.000048 1430976.500000
69 0.000061 1136663.125000
70 0.000062 1134448.375000
71 0.000063 1132159.750000
72 0.000050 1445550.875000
73 0.000063 1157848.000000
74 0.000064 1155816.500000
75 0.000065 1153278.375000
76 0.000052 1457949.750000
77 0.000065 1178379.000000
78 0.000066 1175690.375000
79 0.000067 1173081.500000
80 0.000054 1468644.500000
81 0.000068 1197091.500000
82 0.000069 1194082.000000
83 0.000070 1191843.750000
84 0.000057 1478873.250000
85 0.000070 1214702.250000
86 0.000071 1211677.250000
87 0.000072 1209005.000000
88 0.000059 1489505.750000
89 0.000072 1231050.125000
90 0.000073 1227897.750000
91 0.000074 1224566.625000
92 0.000061 1497590.750000
93 0.000075 1246381.500000
94 0.000076 1242991.750000
95 0.000077 1239691.000000
96 0.000064 1506591.375000
97 0.000077 1260788.250000
98 0.000078 1257312.875000
99 0.000079 1253926.500000
100 0.000066 1513500.375000
101 0.000079 1274351.500000
102 0.000080 1270806.375000
103 0.000081 1267349.250000
104 0.000068 1520645.625000
105 0.000082 1287143.250000
106 0.000083 1283541.500000
107 0.000084 1279659.375000
108 0.000071 1527322.125000
109 0.000084 1299351.500000
110 0.000085 1295580.875000
111 0.000086 1292140.000000
112 0.000073 1534246.625000
113 0.000086 1310783.250000
114 0.000087 1307099.750000
115 0.000088 1303973.125000
116 0.000075 1540259.125000
117 0.000089 1321615.750000
118 0.000090 1317199.500000
119 0.000091 1314278.125000
120 0.000078 1544799.125000
121 0.000091 1331895.000000
122 0.000092 1327703.250000
123 0.000093 1324517.625000
124 0.000080 1550930.625000
125 0.000093 1341662.375000
126 0.000094 1337920.500000
127 0.000095 1333809.500000
128 0.000082 1555814.750000
129 0.000095 1350955.125000
130 0.000097 1346759.500000
131 0.000097 1343975.750000
132 0.000085 1559841.125000
133 0.000098 1359806.875000
134 0.000099 1356055.625000
135 0.000100 1352380.250000
136 0.000087 1564801.250000
137 0.000100 1367811.500000
138 0.000101 1364715.125000
139 0.000102 1361250.375000
140 0.000089 1568944.000000
141 0.000102 1375878.250000
142 0.000103 1372564.250000
143 0.000104 1368892.625000
144 0.000092 1572876.625000
145 0.000105 1384010.375000
146 0.000106 1380275.375000
147 0.000107 1376610.750000
148 0.000094 1576077.625000
149 0.000107 1391379.000000
150 0.000108 1387655.375000
151 0.000109 1384203.500000
152 0.000096 1580173.000000
153 0.000109 1398435.250000
154 0.000110 1394321.250000
155 0.000111 1391082.750000
156 0.000099 1583049.250000
157 0.000112 1404997.125000
158 0.000113 1401504.375000
159 0.000114 1397876.000000
160 0.000101 1586294.375000
161 0.000114 1411488.250000
162 0.000115 1408010.000000
163 0.000116 1404397.625000
164 0.000103 1589393.750000
165 0.000116 1417915.500000
166 0.000117 1414644.125000
167 0.000118 1410663.500000
168 0.000106 1592356.750000
169 0.000119 1423901.250000
170 0.000120 1420644.500000
171 0.000121 1416876.625000
172 0.000108 1595192.250000
173 0.000121 1429468.500000
174 0.000122 1426042.500000
175 0.000123 1422486.625000
176 0.000110 1597908.250000
177 0.000123 1435011.000000
178 0.000124 1431604.625000
179 0.000125 1428252.250000
180 0.000112 1600512.125000
181 0.000126 1440532.250000
182 0.000127 1436781.500000
183 0.000128 1433630.125000
184 0.000115 1603457.875000
185 0.000128 1445673.875000
186 0.000129 1441771.125000
187 0.000130 1438284.625000
188 0.000117 1605410.625000
189 0.000130 1450810.500000
190 0.000131 1446759.125000
191 0.000132 1443819.625000
192 0.000119 1607717.000000
193 0.000133 1455417.500000
194 0.000134 1451921.875000
195 0.000135 1448306.625000
196 0.000122 1610147.250000
197 0.000135 1460557.500000
198 0.000136 1456567.750000
199 0.000137 1453148.750000
200 0.000124 1612279.000000
201 0.000137 1464331.500000
202 0.000138 1460888.625000
203 0.000139 1457830.625000
204 0.000126 1614332.750000
205 0.000140 1468986.500000
206 0.000141 1465566.250000
207 0.000142 1462194.875000
208 0.000129 1616312.375000
209 0.000142 1472826.750000
210 0.000143 1469765.000000
211 0.000144 1466418.375000
212 0.000131 1618221.875000
213 0.000144 1477197.250000
214 0.000145 1473829.250000
215 0.000146 1470186.000000
216 0.000133 1620064.750000
217 0.000147 1481107.375000
218 0.000148 1477765.625000
219 0.000149 1474469.500000
220 0.000136 1621844.875000
221 0.000149 1484257.500000
222 0.000150 1481263.875000
223 0.000151 1478309.250000
224 0.000138 1623188.375000
225 0.000151 1488725.375000
226 0.000152 1484966.500000
227 0.000153 1481878.000000
228 0.000140 1625228.125000
229 0.000154 1491817.875000
230 0.000154 1489020.000000
231 0.000156 1485339.375000
232 0.000143 1626654.625000
233 0.000156 1495123.250000
234 0.000157 1492346.875000
235 0.000158 1489000.500000
236 0.000145 1628035.375000
237 0.000158 1498634.125000
238 0.000159 1495876.875000
239 0.000160 1492556.000000
240 0.000147 1630434.750000
241 0.000160 1502044.250000
242 0.000161 1499009.000000
243 0.000162 1495716.000000
244 0.000150 1631365.000000
245 0.000163 1505062.000000
246 0.000164 1502051.625000
247 0.000165 1499077.625000
248 0.000152 1632954.125000
249 0.000165 1508286.500000
250 0.000166 1505008.625000
251 0.000167 1502058.500000
252 0.000154 1634156.500000
253 0.000167 1511422.250000
254 0.000168 1507883.750000
255 0.000169 1505241.750000
256 0.000157 1635657.250000
257 0.000170 1514187.500000
258 0.000171 1510963.250000
259 0.000172 1508058.500000
260 0.000159 1636784.750000
261 0.000172 1517441.875000
262 0.000173 1513960.750000
263 0.000174 1511077.375000
264 0.000161 1637879.750000
265 0.000174 1519774.375000
266 0.000175 1516879.625000
267 0.000176 1514017.500000
268 0.000164 1638943.375000
269 0.000177 1522595.625000
270 0.000178 1519722.625000
271 0.000179 1516338.375000
272 0.000166 1640609.875000
273 0.000179 1524799.000000
274 0.000180 1522492.875000
275 0.000181 1519135.500000
276 0.000168 1641918.750000
277 0.000181 1527483.625000
278 0.000182 1524657.750000
279 0.000183 1521596.875000
280 0.000170 1642575.625000
281 0.000184 1529834.500000
282 0.000185 1527031.750000
283 0.000186 1524258.875000
284 0.000173 1644127.375000
285 0.000186 1532389.875000
286 0.000187 1529870.000000
287 0.000188 1526595.875000
288 0.000175 1645037.500000
289 0.000188 1534882.750000
290 0.000189 1532121.625000
291 0.000190 1529389.375000
292 0.000177 1645923.500000
293 0.000191 1537315.250000
294 0.000192 1534318.625000
295 0.000193 1531608.250000
296 0.000180 1647079.875000
297 0.000193 1539179.125000
298 0.000194 1536716.125000
299 0.000195 1534025.625000
300 0.000182 1647917.125000
301 0.000195 1541755.375000
302 0.000196 1539057.375000
303 0.000197 1535888.000000
304 0.000184 1648733.125000
305 0.000198 1544022.250000
306 0.000199 1541095.875000
307 0.000200 1538446.125000
308 0.000187 1649811.375000
309 0.000200 1545742.000000
310 0.000201 1543087.000000
311 0.000202 1540213.875000
